#: table_doi: 10.17182/hepdata.141028.v1/t2
#: name: Figure 1
#: description: The $\mathrm{J}/\psi\mathrm{J}/\psi$ invariant mass distribution in data
#: data_file: figure_1.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> J/PSI J/PSI | J/PSI --> MU+ MU-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Invariant Mass Distribution
#: SQRT(S) [TeV],,,13
#: LUMINOSITY [fb$^{-1}$],,,135
$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV],$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV] LOW,$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV] HIGH,Candidates / 25 MeV [GeV],stat +,stat -
13.9875,13.975,14.0,7.0,2.6458,-2.6458
14.0125,14.0,14.025,20.0,4.4721,-4.4721
14.037500000000001,14.025,14.05,18.0,4.2426,-4.2426
14.0625,14.05,14.075,13.0,3.6056,-3.6056
14.087499999999999,14.075,14.1,14.0,3.7417,-3.7417
14.1125,14.1,14.125,21.0,4.5826,-4.5826
14.1375,14.125,14.15,14.0,3.7417,-3.7417
14.162500000000001,14.15,14.175,17.0,4.1231,-4.1231
14.1875,14.175,14.2,21.0,4.5826,-4.5826
14.212499999999999,14.2,14.225,13.0,3.6056,-3.6056
14.2375,14.225,14.25,27.0,5.1962,-5.1962
14.2625,14.25,14.275,12.0,3.4641,-3.4641
14.287500000000001,14.275,14.3,14.0,3.7417,-3.7417
14.3125,14.3,14.325,18.0,4.2426,-4.2426
14.337499999999999,14.325,14.35,16.0,4.0,-4.0
14.3625,14.35,14.375,20.0,4.4721,-4.4721
14.3875,14.375,14.4,10.0,3.1623,-3.1623
14.412500000000001,14.4,14.425,15.0,3.873,-3.873
14.4375,14.425,14.45,16.0,4.0,-4.0
14.462499999999999,14.45,14.475,24.0,4.899,-4.899
14.4875,14.475,14.5,14.0,3.7417,-3.7417
14.5125,14.5,14.525,23.0,4.7958,-4.7958
14.537500000000001,14.525,14.55,25.0,5.0,-5.0
14.5625,14.55,14.575,16.0,4.0,-4.0
14.587499999999999,14.575,14.6,19.0,4.3589,-4.3589
14.6125,14.6,14.625,23.0,4.7958,-4.7958
14.6375,14.625,14.65,16.0,4.0,-4.0
14.662500000000001,14.65,14.675,19.0,4.3589,-4.3589
14.6875,14.675,14.7,21.0,4.5826,-4.5826
14.712499999999999,14.7,14.725,19.0,4.3589,-4.3589
14.7375,14.725,14.75,26.0,5.099,-5.099
14.7625,14.75,14.775,17.0,4.1231,-4.1231
14.787500000000001,14.775,14.8,24.0,4.899,-4.899
14.8125,14.8,14.825,11.0,3.3166,-3.3166
14.837499999999999,14.825,14.85,15.0,3.873,-3.873
14.8625,14.85,14.875,18.0,4.2426,-4.2426
14.8875,14.875,14.9,15.0,3.873,-3.873
14.912500000000001,14.9,14.925,11.0,3.3166,-3.3166
14.9375,14.925,14.95,21.0,4.5826,-4.5826
14.962499999999999,14.95,14.975,11.0,3.3166,-3.3166
14.9875,14.975,15.0,21.0,4.5826,-4.5826

